Product,today_paid_installs,todays_free_installs,lifetime_installs,today_paid_uninstalls,today_free_uninstalls,lifetime_uninstalls,todays_forge_installs,todays_forge_uninstalls
Zeniva,0.0,1,4,0.0,0,0,,
Odyssey,,6,1432,,1,565,0.0,0.0
