Product,today_paid_installs,todays_free_installs,total_installs,today_paid_uninstalls,today_free_uninstalls,total_uninstalls,todays_forge_installs,todays_forge_uninstalls
Zeniva,0.0,1,2,0.0,0,0,,
Odyssey,,3,1420,,4,560,1.0,2.0
