product,platform,date,clicks,daily_spend,views,total_followers,today_followers,yesterday_followers,reach,daily_installs,impressions
odyssey,youtube,09/18/2024,74.0,1635.0,8790.0,581.0,0.0,0.0,NA,NA,NA
odyssey,tiktok,09/18/2024,NA,NA,NA,46.0,0.0,0.0,NA,NA,NA
odyssey,facebook,09/18/2024,NA,NA,NA,168.0,2.0,1.0,NA,NA,NA
odyssey,instagram,09/18/2024,NA,NA,NA,283.0,1.0,0.0,NA,NA,NA
zeniva,linkedin,09/18/2024,NA,NA,NA,1556.0,0.0,0.0,NA,NA,NA
zeniva,meta,09/18/2024,207.0,500.0,NA,NA,NA,NA,20388.0,NA,NA
zeniva,ppc,09/18/2024,24.0,3500.0,NA,NA,NA,NA,NA,NA,126.0
zeniva,shopify,09/18/2024,31.0,8352.0,NA,NA,NA,NA,NA,NA,1878.0
zeniva,x,09/18/2024,NA,NA,NA,6.0,0.0,0.0,NA,NA,NA
zeniva,youtube,09/18/2024,10.0,2000.0,17900.0,275.0,0.0,0.0,NA,NA,NA
zeniva,facebook,09/18/2024,NA,NA,NA,164.0,2.0,0.0,NA,NA,NA
zeniva,instagram,09/18/2024,NA,NA,NA,400.0,0.0,0.0,NA,NA,NA
zeniva,tiktok,09/18/2024,NA,NA,NA,14.0,0.0,0.0,NA,NA,NA
